bicycle_count,date,year,coordinates,long,lat
3700,20181121,2018,POINT (12.490808761616478 55.6778971620243),12.490808761616478,55.6778971620243
500,20150527,2015,POINT (12.485614112913 55.71242208150962),12.485614112913,55.71242208150962
4500,20190924,2019,POINT (12.579929220187108 55.677591953657725),12.579929220187108,55.677591953657725
4100,20170619,2017,POINT (12.57806138821691 55.683071108952376),12.57806138821691,55.683071108952376
500,20190509,2019,POINT (12.498664116225232 55.719972383404716),12.498664116225232,55.719972383404716
8000,20150520,2015,POINT (12.516132959960554 55.690672587147795),12.516132959960554,55.690672587147795
21300,20190926,2019,POINT (12.600477890261361 55.66440327520259),12.600477890261361,55.66440327520259
4000,20190522,2019,POINT (12.61301675021509 55.66603593555259),12.61301675021509,55.66603593555259
2800,20170912,2017,POINT (12.614329574771148 55.6601510015242),12.614329574771148,55.6601510015242
2600,20190613,2019,POINT (12.567921797068285 55.65296383782265),12.567921797068285,55.65296383782265
5400,20190521,2019,POINT (12.578507155288404 55.667066295169484),12.578507155288404,55.667066295169484
3700,20140924,2014,POINT (12.586928308377042 55.6899993514021),12.586928308377042,55.6899993514021
10000,20180905,2018,POINT (12.565897767895898 55.68275268901302),12.565897767895898,55.68275268901302
4300,20180614,2018,POINT (12.516643587847545 55.6666361219472),12.516643587847545,55.6666361219472
2800,20190523,2019,POINT (12.572732995528165 55.7120728462735),12.572732995528165,55.7120728462735
600,20150924,2015,POINT (12.559098150406271 55.66983071116892),12.559098150406271,55.66983071116892
6800,20190904,2019,POINT (12.558283833286113 55.67068892477301),12.558283833286113,55.67068892477301
15300,20190904,2019,POINT (12.556505806528877 55.672481296814745),12.556505806528877,55.672481296814745
10100,20190606,2019,POINT (12.594651767996583 55.66512445603811),12.594651767996583,55.66512445603811
2600,20161110,2016,POINT (12.529225016647231 55.65046366682448),12.529225016647231,55.65046366682448
4800,20181009,2018,POINT (12.557563338737207 55.704114201973304),12.557563338737207,55.704114201973304
2100,20170925,2017,POINT (12.538283418658711 55.69622275288852),12.538283418658711,55.69622275288852
4800,20190910,2019,POINT (12.578305323754966 55.70921381411581),12.578305323754966,55.70921381411581
3900,20190514,2019,POINT (12.563712744713685 55.72794950194999),12.563712744713685,55.72794950194999
10600,20140925,2014,POINT (12.545890008745992 55.67128747421293),12.545890008745992,55.67128747421293
16000,20160929,2016,POINT (12.55964260408082 55.6969614380305),12.55964260408082,55.6969614380305
6200,20161027,2016,POINT (12.543522073271511 55.66327226197737),12.543522073271511,55.66327226197737
8200,20190910,2019,POINT (12.559346983267597 55.70361890401456),12.559346983267597,55.70361890401456
1300,20190522,2019,POINT (12.62442078237487 55.661838966388004),12.62442078237487,55.661838966388004
2100,20190528,2019,POINT (12.62697287181302 55.66157832760491),12.62697287181302,55.66157832760491
