network,length,coverage,directness
bikeable,2548.454212791369,119.35533100231076,108.07809916890763
bikeable_offstreet,1201.8739615465138,114.45859901887823,161.63968831552336
biketrack,2238.6901981945402,116.75668223782866,107.48784067764942
biketrack_onstreet,1171.4570513393899,102.50842375745258,157.0433288224762
biketrackcarall,5520.611358797811,121.96692424118592,239.11518294457142
carall,4462.134413575545,118.3165603680502,232.36011679152855
