network,length,coverage,directness
bikeable,3152.75648992814,119.35533100231076,87.53581150919526
bikeable_offstreet,1507.058050406734,114.45859901887823,123.77747246345733
biketrack,2769.8606002022066,116.75668223782866,85.97655337765048
biketrack_onstreet,1431.6318365475988,102.50842375745258,124.62413609170686
biketrackcarall,6890.9553885240675,121.96692424118592,179.1284948354798
carall,5563.676979149579,118.3165603680502,171.94283764699446
