length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
7816.027999999998,7816.027999999998,8.130957402162762,0.7798407468176545,0.7798407468176545,4,1,4654.443000000005,4654.443000000005,0.780226653707152,0.9461274564966254,0.812167687635589,0.812167687635589
14999.670999999997,14999.670999999997,14.192479314880885,0.6589276969549944,0.6589276969549944,7,1,9659.863000000001,9715.638000000003,0.6376276192345837,0.9867165412582668,0.7141733976879967,0.7141733976879967
19591.177000000018,19591.177000000018,18.15626554656583,0.6316522303308731,0.6316522303308731,9,1,12715.649999999998,12771.424999999997,0.6244603319934239,0.9828409460151669,0.686059203058352,0.686059203058352
26152.418999999998,26152.418999999998,24.09641310483205,0.5887454047314318,0.5887454047314318,12,1,16984.54700000002,17040.32200000002,0.6239724492036871,0.9773213759055928,0.6522849653244807,0.6522849653244807
30186.523000000016,30186.523000000016,27.952206265783026,0.5842058600362257,0.5842058600362257,14,1,18831.03800000001,19304.39,0.6045601167734388,0.9764347563217356,0.6388286919915508,0.6388286919915508
34497.22499999998,34497.22499999998,30.5536707144133,0.6369809988753974,0.6369809988753974,16,1,21283.50499999999,21756.856999999985,0.6261036227038979,0.9625922612763427,0.6874478847655278,0.6874478847655278
45260.65599999999,45260.65599999999,39.108411543075604,0.6752312521818291,0.6752312521818291,19,1,28408.988999999987,28882.340999999986,0.6275567928828667,0.951025419497388,0.7056808828532893,0.7056808828532893
48030.43800000003,48030.43800000003,41.70817659439215,0.6491438115648485,0.6491438115648485,20,1,29165.166999999994,29638.518999999997,0.6145079890427062,0.9460734754352078,0.6929215056970612,0.6929215056970612
54503.165000000066,54503.165000000066,46.92734764201349,0.6603608382052023,0.6603608382052023,23,1,32781.08099999999,33621.026999999965,0.5936577388292547,0.9320659669200856,0.6882228896322976,0.6882228896322976
64771.11800000013,64771.11800000013,54.618128258153746,0.6431012945305414,0.6431012945305414,27,1,36737.885,37875.73199999998,0.5569673111002891,0.907333288176827,0.6809536294895998,0.6809536294895998
7816.027999999998,7816.027999999998,8.130957402162762,0.7798407468176481,0.7798407468176481,4,1,4654.443000000005,4654.443000000005,0.780226653707152,0.9461274564966254,0.8121676876355889,0.8121676876355889
14999.670999999997,14999.670999999997,14.192479314880885,0.6543570884592844,0.6543570884592844,7,1,9659.863000000001,9715.638000000003,0.6376276192345837,0.9867165412582668,0.7122776266350765,0.7122776266350765
19591.177000000018,19591.177000000018,18.15626554656583,0.6280560764451527,0.6280560764451527,9,1,12715.649999999998,12771.424999999997,0.6244603319934239,0.9828409460151669,0.6853228963461364,0.6853228963461364
26152.418999999998,26152.418999999998,24.09641310483205,0.5911429808280257,0.5911429808280257,12,1,16984.54700000002,17040.32200000002,0.6239724492036871,0.9773213759055928,0.6545443883791708,0.6545443883791708
30186.523000000016,30186.523000000016,27.952206265783026,0.5859549838332978,0.5859549838332978,14,1,18831.03800000001,19304.39,0.6045601167734388,0.9764347563217356,0.6425504601024351,0.6425504601024351
34497.22499999998,34497.22499999998,30.5536707144133,0.6278142566127222,0.6278142566127222,16,1,21283.50499999999,21756.856999999985,0.6261036227038979,0.9625922612763427,0.684023633500879,0.684023633500879
45260.65599999999,45260.65599999999,39.108411543075604,0.6730575472009639,0.6730575472009639,19,1,28408.988999999987,28882.340999999986,0.6275567928828667,0.951025419497388,0.7036934391220871,0.7036934391220871
48030.43800000003,48030.43800000003,41.70817659439215,0.6627715996246546,0.6627715996246546,20,1,29165.166999999994,29638.518999999997,0.6145079890427062,0.9460734754352078,0.6973776290347758,0.6973776290347758
54503.165000000066,54503.165000000066,46.92734764201349,0.6500631339842075,0.6500631339842075,23,1,32781.08099999999,33621.026999999965,0.5936577388292547,0.9320659669200856,0.7014040743301428,0.7014040743301428
64771.11800000013,64771.11800000013,54.618128258153746,0.6539790576581771,0.6539790576581771,27,1,36737.885,37875.73199999998,0.5569673111002891,0.907333288176827,0.6835738760492384,0.6835738760492384
66613.05600000016,66613.05600000016,56.37557312731435,0.6471094725002275,0.6471094725002275,28,1,36748.888,37886.734999999986,0.5583291218396828,0.90781381645552,0.672305889176803,0.672305889176803
70410.4800000001,70410.4800000001,58.63396492768209,0.6472986338821928,0.6472986338821928,29,1,38147.04399999998,39284.89099999999,0.5614017540771573,0.90009933623529,0.673044360663914,0.673044360663914
75522.44599999998,75522.44599999998,62.12913110421789,0.6476372076376208,0.6476372076376208,31,1,40200.21,41338.057000000044,0.5655441000248337,0.8990706085835637,0.6735876614327364,0.6735876614327364
80527.97099999993,80527.97099999993,65.06772500167804,0.6523984043997217,0.6523984043997217,33,1,42302.99000000008,43484.12600000009,0.5665626077688405,0.8972797784468454,0.6855087795901572,0.6855087795901572
90987.88499999975,90987.88499999975,71.08309756716102,0.6599094054953266,0.6599094054953266,35,1,47096.36900000011,48277.50500000011,0.5759643852000849,0.9091699195375887,0.6822981616173215,0.6822981616173215
94676.66899999962,94676.66899999962,72.38517829397286,0.6721929175021152,0.6721929175021152,35,1,48793.806000000084,49974.942000000105,0.5903870317998315,0.9107592158231419,0.6879459698562413,0.6879459698562413
101049.1319999996,101049.1319999996,76.21588531311325,0.6912381134367415,0.6912381134367415,36,1,51729.31500000009,53031.1380000001,0.5939613114658153,0.9091244463101806,0.6923981605049238,0.6923981605049238
106305.5929999997,106305.5929999997,77.11856356360056,0.6997469389811521,0.6997469389811521,36,1,54926.26000000011,56228.08300000012,0.6087020364341942,0.9033027529612941,0.7034198328000163,0.7034198328000163
