network,length,coverage,directness
bikeable,2317.857045401499,119.35533100231076,119.24422633577126
bikeable_offstreet,1088.8536043632816,114.45859901887823,169.87365682802502
biketrack,2037.852839546018,116.75668223782866,119.47808085248145
biketrack_onstreet,1070.9788612183982,102.50842375745258,170.0693684199102
biketrackcarall,5013.808920096903,121.96692424118592,261.08633942653626
carall,4054.8677383947106,118.3165603680502,250.2567006901108
