network,length,coverage,directness
bikeable,2319.8767070261692,119.35533100257837,120.70171939273554
bikeable_offstreet,1089.046412965356,114.45859901891065,171.7327136255382
biketrack,2035.3791912506674,116.75668223734664,119.7127464075618
biketrack_onstreet,1076.2436217953975,102.50842375643542,153.84745126257425
biketrackcarall,5015.911145357693,121.96692424104373,259.52164283777995
carall,4056.775575902209,118.31656036770053,249.38861485120742
