network,length,coverage,directness
bikeable,553927.1459999984,119.35533100215501,0.47058144735917534
bikeable_offstreet,237551.48200000054,114.45756866931048,0.7000732401545602
biketrack,467140.5039999994,116.75668223693877,0.47872825444275996
biketrack_onstreet,272257.17499999865,102.51637863517368,0.5756793991265261
biketrackcarall,1351915.9259999967,121.96692424088913,0.8392629850259059
carall,1157032.5970000068,118.31656036872971,0.8157681635568135
