network,length,length_lcc,coverage,directness,directness_lcc
bikeable,553917.6229999986,458980.41999999946,119.35533100257837,0.4731736865889669,0.4724771531555669
bikeable_offstreet,237624.45700000064,25346.826000000015,114.45859901891065,0.7124085355235316,0.6791332153943652
biketrack,467207.8599999988,409401.6849999999,116.75668223734664,0.4649749764308683,0.4566422261298781
biketrack_onstreet,272252.8969999987,178554.28799999953,102.50842375643542,0.5826860685275175,0.5650185768771259
biketrackcarall,1352471.2999999993,1346323.5909999998,121.96692424104373,0.8370911974113565,0.8383521199230186
carall,1157516.3370000073,1157516.3370000073,118.31656036770053,0.8235189532765882,0.8235189532765882
