2022-11-03 12:19:15,149 INFO osmnx Configured OSMnx
2022-11-03 12:20:41,479 INFO osmnx Found nearest node (3635213518) to point [55.67121065622802, 12.566819590887349]
2022-11-03 12:20:41,489 INFO osmnx Found nearest node (247805104) to point [55.64247929041645, 12.590998208040157]
2022-11-03 12:20:41,498 INFO osmnx Found nearest node (18023257) to point [55.6685097641376, 12.603504596833632]
2022-11-03 12:20:41,508 INFO osmnx Found nearest node (8097301) to point [55.66025793074069, 12.612771649757864]
2022-11-03 12:20:41,518 INFO osmnx Found nearest node (26201997) to point [55.70866168937607, 12.577422195632968]
2022-11-03 12:20:41,527 INFO osmnx Found nearest node (11062528) to point [55.6622484043954, 12.593784307072148]
2022-11-03 12:20:41,537 INFO osmnx Found nearest node (2534881862) to point [55.69647486192935, 12.580652334787487]
2022-11-03 12:20:41,547 INFO osmnx Found nearest node (8214785) to point [55.6549506072329, 12.595361987487026]
2022-11-03 12:20:41,557 INFO osmnx Found nearest node (366513525) to point [55.66898489618827, 12.617216032690916]
2022-11-03 12:20:41,567 INFO osmnx Found nearest node (8079927) to point [55.66934000134341, 12.57967575633036]
2022-11-03 12:20:41,577 INFO osmnx Found nearest node (17546839) to point [55.67250052877466, 12.492608916607372]
2022-11-03 12:20:41,587 INFO osmnx Found nearest node (26692489) to point [55.66045737251951, 12.477994530667289]
2022-11-03 12:20:41,596 INFO osmnx Found nearest node (698650) to point [55.66795540243491, 12.592889163763974]
2022-11-03 12:20:41,606 INFO osmnx Found nearest node (8086438) to point [55.64573286252504, 12.598168598146442]
2022-11-03 12:20:41,616 INFO osmnx Found nearest node (4199695832) to point [55.706747764334814, 12.564051414660698]
2022-11-03 12:20:41,626 INFO osmnx Found nearest node (11062528) to point [55.662402942530434, 12.595452191652946]
2022-11-03 12:20:41,635 INFO osmnx Found nearest node (152904668) to point [55.63934231769066, 12.608134734098194]
2022-11-03 12:20:41,645 INFO osmnx Found nearest node (3093678706) to point [55.677591953657725, 12.579929220187108]
2022-11-03 12:20:41,654 INFO osmnx Found nearest node (402386428) to point [55.71997238340472, 12.498664116225232]
2022-11-03 12:20:41,664 INFO osmnx Found nearest node (11062538) to point [55.66440327520259, 12.60047789026136]
2022-11-03 12:20:41,674 INFO osmnx Found nearest node (7224386) to point [55.66603593555259, 12.61301675021509]
2022-11-03 12:20:41,683 INFO osmnx Found nearest node (2026357314) to point [55.65296383782265, 12.567921797068283]
2022-11-03 12:20:41,693 INFO osmnx Found nearest node (7726662) to point [55.66706629516949, 12.578507155288404]
2022-11-03 12:20:41,702 INFO osmnx Found nearest node (8089266) to point [55.7120728462735, 12.572732995528163]
2022-11-03 12:20:41,712 INFO osmnx Found nearest node (8087188) to point [55.67068892477301, 12.558283833286112]
2022-11-03 12:20:41,721 INFO osmnx Found nearest node (725161) to point [55.672481296814745, 12.556505806528875]
2022-11-03 12:20:41,731 INFO osmnx Found nearest node (8084942) to point [55.66512445603811, 12.594651767996584]
2022-11-03 12:20:41,741 INFO osmnx Found nearest node (7712486) to point [55.70921381411581, 12.578305323754966]
2022-11-03 12:20:41,751 INFO osmnx Found nearest node (20929975) to point [55.72794950194999, 12.563712744713683]
2022-11-03 12:20:41,761 INFO osmnx Found nearest node (269938609) to point [55.70361890401456, 12.559346983267597]
2022-11-03 12:20:41,771 INFO osmnx Found nearest node (7726641) to point [55.661838966388, 12.62442078237487]
2022-11-03 12:20:41,781 INFO osmnx Found nearest node (1467935775) to point [55.66157832760491, 12.62697287181302]
2022-11-03 12:20:41,791 INFO osmnx Found nearest node (7726649) to point [55.657260432173246, 12.60574321508488]
2022-11-03 12:20:41,801 INFO osmnx Found nearest node (11062536) to point [55.66414469082948, 12.58358383837728]
2022-11-03 12:20:41,810 INFO osmnx Found nearest node (18311970) to point [55.665104719928856, 12.582039522933968]
2022-11-03 12:20:41,820 INFO osmnx Found nearest node (8441650334) to point [55.66414011720968, 12.584629569645475]
2022-11-03 12:20:41,830 INFO osmnx Found nearest node (8546318) to point [55.66617578842656, 12.611795896756906]
2022-11-03 12:20:41,840 INFO osmnx Found nearest node (297970835) to point [55.66818018095424, 12.605639564614512]
2022-11-03 12:20:41,850 INFO osmnx Found nearest node (475132348) to point [55.64646137262146, 12.605265296582411]
2022-11-03 12:20:41,860 INFO osmnx Found nearest node (308206107) to point [55.66702045280943, 12.595226988684232]
2022-11-03 12:20:41,870 INFO osmnx Found nearest node (20908251) to point [55.65887915773498, 12.56777880564525]
2022-11-03 12:20:41,880 INFO osmnx Found nearest node (7170216) to point [55.643691853166416, 12.61500485622894]
2022-11-03 12:20:41,890 INFO osmnx Found nearest node (3471431748) to point [55.69622391614255, 12.593705328086893]
2022-11-03 12:20:41,900 INFO osmnx Found nearest node (4931068908) to point [55.66805700479699, 12.58172954609748]
2022-11-03 12:20:41,910 INFO osmnx Found nearest node (6591749378) to point [55.67065407721704, 12.582258079587769]
2022-11-03 12:20:41,922 INFO osmnx Found nearest node (24692362) to point [55.69825734515751, 12.553231789688152]
2022-11-03 12:20:41,933 INFO osmnx Found nearest node (4927447605) to point [55.67421924045831, 12.570965051983404]
2022-11-03 12:20:41,942 INFO osmnx Found nearest node (7712509) to point [55.70843060897128, 12.587753952812452]
2022-11-03 12:20:41,954 INFO osmnx Found nearest node (7726665) to point [55.67277244193488, 12.57633816398093]
2022-11-03 12:20:41,964 INFO osmnx Found nearest node (3496749435) to point [55.662491400189865, 12.564154405056602]
2022-11-03 12:20:41,972 INFO osmnx Found nearest node (20943314) to point [55.6811772866666, 12.47316153935187]
2022-11-03 12:20:41,982 INFO osmnx Found nearest node (4176409606) to point [55.670427639358365, 12.580791923984624]
2022-11-03 12:20:41,992 INFO osmnx Found nearest node (5688563760) to point [55.70427847067259, 12.544200668469932]
2022-11-03 12:20:42,002 INFO osmnx Found nearest node (25099540) to point [55.69880859326526, 12.54152923938923]
2022-11-03 12:20:42,012 INFO osmnx Found nearest node (1236611220) to point [55.67239507294156, 12.583665646695062]
2022-11-03 12:20:42,022 INFO osmnx Found nearest node (392835996) to point [55.7190154010696, 12.556999970376925]
2022-11-03 12:20:42,031 INFO osmnx Found nearest node (17551000) to point [55.67849903361736, 12.59469602287859]
2022-11-03 12:20:42,041 INFO osmnx Found nearest node (8079931) to point [55.66900538228939, 12.582328391555762]
2022-11-03 12:20:42,050 INFO osmnx Found nearest node (5134738131) to point [55.65325569736527, 12.555967114060316]
2022-11-03 12:20:42,060 INFO osmnx Found nearest node (8977396150) to point [55.67102821877826, 12.579843934136616]
2022-11-03 12:20:42,069 INFO osmnx Found nearest node (107552838) to point [55.6458971323602, 12.530960063914618]
2022-11-03 12:20:42,079 INFO osmnx Found nearest node (93029021) to point [55.64937903079855, 12.503275444518248]
2022-11-03 12:20:42,089 INFO osmnx Found nearest node (18164867) to point [55.64710829706531, 12.529619140351253]
2022-11-03 12:20:42,099 INFO osmnx Found nearest node (4225167455) to point [55.6523309305399, 12.487710078615091]
2022-11-03 12:20:42,109 INFO osmnx Found nearest node (93028843) to point [55.64911673386253, 12.49022298916054]
