length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
7166.926999999997,4899.157000000001,8.43449495275263,0.8592928946581061,0.8593671882107622,5,2,5501.3020000000015,5501.3020000000015,0.46378807396402133,0.9510996353789154,0.8902740990078427,0.8913308409451578
13819.607000000002,13819.607000000002,12.636379011464664,0.7035069444161727,0.7035069444161727,7,1,8056.212999999999,8056.212999999999,0.6218939856309331,0.9363236116367409,0.7236094310174733,0.7236094310174733
16863.428,16863.428,14.143408608788137,0.682182843356406,0.682182843356406,8,1,9664.165999999996,9664.165999999996,0.62420232798139,0.9051662267085326,0.6980410208741167,0.6980410208741167
25690.118,25690.118,21.937916200127777,0.6688970154951496,0.6688970154951496,12,1,14159.63799999999,14159.63799999999,0.5983930158912112,0.893131022602882,0.6920367049660072,0.6920367049660072
30121.742000000024,30121.742000000024,25.82533063470219,0.656975821155482,0.656975821155482,14,1,16192.27299999999,16558.867,0.5856399012607458,0.8646988655579938,0.6842006026627873,0.6842006026627873
34589.59899999998,31628.19800000001,30.29882355701122,0.6576061669695648,0.6623260553812358,17,2,18365.552000000003,18732.146000000008,0.493035856873197,0.8197921693188487,0.68386886118586,0.6872508482611248
41259.04500000005,39014.65200000004,36.28328155829334,0.6100425104237788,0.6083879621256424,20,2,21603.54100000001,21982.939000000006,0.483091253127607,0.7932502946995204,0.6597983478697526,0.6541241209351275
46538.776000000056,46538.776000000056,39.6808016760446,0.5989968431803799,0.5989968431803799,21,1,22340.165999999997,22719.564000000002,0.5535148547789338,0.829476717413603,0.6355985151173285,0.6355985151173285
53359.151999999995,53359.151999999995,42.326745383801,0.6281634401898508,0.6281634401898508,21,1,25477.922000000017,25857.320000000014,0.6002844451279302,0.8534702163152934,0.6564065470161609,0.6564065470161609
63648.918,63648.918,48.594389719313426,0.6324117452623879,0.6324117452623879,24,1,31369.542999999983,32046.84199999997,0.5970234521629914,0.8095867595985052,0.6592769627342531,0.6592769627342531
63648.918,63648.918,48.594389719313426,0.6367708396224303,0.6367708396224303,24,1,31369.542999999983,32046.84199999997,0.5970234521629914,0.8095867595985052,0.6597333369811593,0.6597333369811593
67834.44100000004,67834.44100000004,52.362538516689405,0.630424183085349,0.630424183085349,26,1,32167.418999999987,32844.71799999997,0.5766583653808364,0.7908407737830836,0.6527499592709978,0.6527499592709978
75707.2399999997,75707.2399999997,57.1668377487209,0.6286588368982132,0.6286588368982132,28,1,36536.156000000025,37257.268000000004,0.5706888779882522,0.7718186416711795,0.6515622060104874,0.6515622060104874
84524.70599999977,84524.70599999977,63.236721338299475,0.6123369640099643,0.6123369640099643,30,1,42366.976000000024,43199.20100000001,0.5581649626220487,0.7579545503165321,0.6370112575397147,0.6370112575397147
88091.85099999975,88091.85099999975,65.32382866957589,0.6372395041265563,0.6372395041265563,31,1,44035.376000000026,44867.60100000002,0.5707894827725731,0.9231995988297415,0.6499941170085645,0.6499941170085645
93031.86799999974,93031.86799999974,66.57988255796667,0.6522454518934714,0.6522454518934714,31,1,45804.485000000044,46636.71000000005,0.5885689318245682,0.9172300521758119,0.660090308906078,0.660090308906078
97815.84099999981,97815.84099999981,68.96333370105465,0.6446225139404962,0.6446225139404962,32,1,49527.897000000026,50655.91700000004,0.5851119125890751,0.9044119805840781,0.6605958859884195,0.6605958859884195
104759.07999999989,104759.07999999989,74.23376399690319,0.6459268768007747,0.6459268768007747,35,1,51223.82600000002,52351.846,0.5811374515281174,0.8954025023663665,0.6592737712191812,0.6592737712191812
108479.33799999993,108479.33799999993,77.160669057293,0.6341536319164764,0.6341536319164764,36,1,54078.045999999995,55206.06600000002,0.57870307779523,0.8924472107862509,0.6519127198357605,0.6519127198357605
121114.03100000012,121114.03100000012,82.58187450113033,0.6352365348127397,0.6352365348127397,37,1,59837.887000000046,61086.59400000005,0.5809509965510995,0.8869609778705865,0.6430673980634871,0.6430673980634871
126330.91700000013,126330.91700000013,83.39600670408642,0.6482628807857498,0.6482628807857498,37,1,62383.90500000006,63750.57900000007,0.5925559605032452,0.8784606585841122,0.6570253907117716,0.6570253907117716
126330.91700000013,126330.91700000013,83.39600670408642,0.6461598676766784,0.6461598676766784,37,1,62383.90500000006,63750.57900000007,0.5925559605032452,0.8784606585841122,0.6523145376987939,0.6523145376987939
127935.31900000013,127935.31900000013,84.83188731501167,0.6504767028378425,0.6504767028378425,38,1,63857.741000000075,65224.41500000007,0.5987546313981906,0.8775562823163077,0.655966067830428,0.655966067830428
129347.15000000015,129347.15000000015,84.83656799785031,0.6510178863005341,0.6510178863005341,38,1,64317.992000000064,65684.66600000007,0.6051487599770106,0.8740929594803601,0.6558555546380608,0.6558555546380608
140180.85499999992,140180.85499999992,89.16113489616161,0.6554135886746517,0.6554135886746517,39,1,68978.82400000011,70345.49800000007,0.6102264889276716,0.8643867062866345,0.6606997178396091,0.6606997178396091
140180.85499999992,140180.85499999992,89.16113489616161,0.6575015981539208,0.6575015981539208,39,1,68978.82400000011,70345.49800000007,0.6102264889276716,0.8643867062866345,0.6629691665902355,0.6629691665902355
143506.35600000003,143506.35600000003,89.47116626841874,0.6530518260471442,0.6530518260471442,39,1,70394.40000000007,71761.07400000005,0.6172313441109502,0.8591429922504018,0.6587647767123035,0.6587647767123035
147807.32100000003,147807.32100000003,89.65607793335673,0.6542087463439864,0.6542087463439864,39,1,71616.5850000001,72983.25900000005,0.6229408335798942,0.8539282718914473,0.6633066338186421,0.6633066338186421
155919.9060000003,155919.9060000003,91.54091046699779,0.6659733860418799,0.6659733860418799,39,1,74284.89599999998,75942.62299999995,0.6295353781403156,0.853816404262491,0.6710632623593668,0.6710632623593668
155919.9060000003,155919.9060000003,91.54091046699779,0.6647520184622933,0.6647520184622933,39,1,74284.89599999998,75942.62299999995,0.6295353781403156,0.853816404262491,0.6762426216277468,0.6762426216277468
160657.36500000046,160657.36500000046,91.73152044228766,0.670420590043549,0.670420590043549,39,1,75808.59999999998,77466.32699999999,0.6350886311002205,0.8500570167763977,0.6728298606594916,0.6728298606594916
160657.36500000046,160657.36500000046,91.73152044228766,0.6726689823749884,0.6726689823749884,39,1,75808.59999999998,77466.32699999999,0.6350886311002205,0.8500570167763977,0.676182072984786,0.676182072984786
164830.8930000006,164830.8930000006,91.85776624556769,0.6812790142628757,0.6812790142628757,39,1,77145.525,78968.19200000007,0.6434389878289465,0.8469534583960534,0.6818153356305934,0.6818153356305934
164830.8930000006,164830.8930000006,91.85776624556769,0.6822239098357298,0.6822239098357298,39,1,77145.525,78968.19200000007,0.6434389878289465,0.8469534583960534,0.6826906685168987,0.6826906685168987
166686.5910000005,166686.5910000005,92.20849862871904,0.6844499510555262,0.6844499510555262,39,1,77232.943,79055.61000000004,0.644503614620748,0.8458571426144214,0.6852446836512734,0.6852446836512734
169747.62300000034,169747.62300000034,92.56557078548516,0.6831064876187835,0.6831064876187835,39,1,77471.22000000003,79293.88700000006,0.6454876102973552,0.8434162084771393,0.684222593904091,0.684222593904091
176896.90800000032,176896.90800000032,93.88943837987432,0.6807332312975651,0.6807332312975651,39,1,79512.39800000006,81503.39300000003,0.6505187949385617,0.8375278842739692,0.6920918240903342,0.6920918240903342
176896.90800000032,176896.90800000032,93.88943837987432,0.6882218883723674,0.6882218883723674,39,1,79512.39800000006,81503.39300000003,0.6505187949385617,0.8375278842739692,0.6915145750599634,0.6915145750599634
176896.90800000032,176896.90800000032,93.88943837987432,0.6897893925547994,0.6897893925547994,39,1,79512.39800000006,81503.39300000003,0.6505187949385617,0.8375278842739692,0.6907380548598154,0.6907380548598154
181566.94700000028,181566.94700000028,96.43569950606584,0.6867616823997011,0.6867616823997011,39,1,82500.13899999998,84491.13400000005,0.6505187949385617,0.8378062249650637,0.6891468228078665,0.6891468228078665
