network,length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
bikeable,553917.6229999986,458980.41999999946,119.35533100257837,0.4733518887885765,0.4670780119700393,39,391,0.32085198127216863,0.33207216706111237,0.5673321481436657,0.5650651795585354
bikeable_offstreet,237624.45700000064,25346.826000000015,114.45859901891065,0.7398688386281017,0.6866045983174651,36,478,0.17507153452439989,0.1406295085261506,0.7009902327271673,0.7635154372662121
biketrack,467207.8599999988,409401.6849999999,116.75668223734664,0.4683190305644334,0.4721622002392084,38,252,0.40996211481974254,0.3855886818447423,0.5623054151597876,0.579627170006821
biketrack_onstreet,272252.8969999987,178554.28799999953,102.50842375643542,0.5721503502112236,0.5647045069864677,37,111,0.31887125691319645,0.3286064313942502,0.6454962525616766,0.6404274773779642
biketrackcarall,1352471.2999999993,1346323.5909999998,121.96692424104373,0.833807760734957,0.838488052556398,39,54,0.7879371422719089,0.7868171969383665,0.826083769859595,0.8283706085432723
carall,1157516.3370000073,1157516.3370000073,118.31656036770053,0.8196337801350289,0.8196337801350289,39,1,0.7863109517325456,0.7895239500939841,0.8118046597027403,0.8118046597027403
