network,length,coverage,directness
bikeable,2319.8767070261692,119.35533100257837,121.9568937100715
bikeable_offstreet,1089.046412965356,114.45859901891065,141.0222794177972
biketrack,2035.3791912506674,116.75668223734664,128.93918691872796
biketrack_onstreet,1076.2436217953975,102.50842375643542,133.0829986555599
biketrackcarall,5015.911145357693,121.96692424104373,260.69858873771284
carall,4056.775575902209,118.31656036770053,254.37038618036888
