length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
9281.258999999996,5642.425999999999,9.860924952438134,0.759521049377217,0.7421190647466673,6,2,5378.635,5616.070000000001,104.9102344817484,0.5030100696207211,0.7767264165243171,0.8028880399312127
16885.746,10295.345999999998,16.395919343442397,0.736729569677909,0.7329192545413115,9,2,9323.335999999998,9560.770999999997,113.41261251219241,0.8912669632707192,0.7649672399837645,0.7718595046891884
20386.098999999977,20386.098999999977,18.671693399784754,0.5475677400430953,0.5475677400430953,10,1,10765.451000000003,11002.886,189.31447962156085,0.9504281358641374,0.6396329154116004,0.6396329154116004
26907.902000000016,26907.902000000016,23.98663547976175,0.5793891769667312,0.5793891769667312,13,1,14974.216999999995,15578.245999999997,196.78370943214566,0.9116571128433597,0.6489111555493862,0.6489111555493862
31937.86900000001,31937.86900000001,27.031464911699203,0.5980608376451187,0.5980608376451187,15,1,16819.20599999999,17669.182999999983,186.2009251710315,0.8619107068487174,0.6505678147690817,0.6505678147690817
41635.975000000086,41635.975000000086,34.01341572499412,0.5472804972163483,0.5472804972163483,18,1,21506.17699999998,22651.94899999999,184.39175788269552,0.8080958892563461,0.6125580624392066,0.6125580624392066
46806.23700000011,46806.23700000011,37.54918180103773,0.6040075667943133,0.6040075667943133,19,1,23875.118000000002,25020.890000000014,197.98389006238773,0.8187422024622986,0.6379878978150467,0.6379878978150467
52057.24300000005,52057.24300000005,40.72174824853131,0.6221755617328941,0.6221755617328941,20,1,25783.057000000026,27226.73000000002,200.9024526659154,0.8049281917755362,0.6448011045211254,0.6448011045211254
56696.296000000075,56696.296000000075,43.55035969871547,0.6246130182987462,0.6246130182987462,21,1,28033.552000000036,29477.22500000001,203.85111343787761,0.8001936259523611,0.6414865510785749,0.6414865510785749
62744.13200000007,62744.13200000007,47.92192248636776,0.6126424300068459,0.6126424300068459,23,1,31241.42500000001,33076.267999999975,194.82258862717202,0.7753097673395904,0.6288002229474385,0.6288002229474385
69145.261,69145.261,50.55826937089524,0.6303674782978428,0.6303674782978428,25,1,35720.21700000004,37673.02700000004,195.27254611028604,0.8160847097889723,0.6461670742444705,0.6461670742444705
70863.38399999998,70863.38399999998,50.7353829552878,0.6294934682701837,0.6294934682701837,25,1,36360.783000000054,38313.593000000066,197.47931416042266,0.8122188738742812,0.6403154462172087,0.6403154462172087
81687.74799999977,81687.74799999977,58.12957041225575,0.6168890136732375,0.6168890136732375,28,1,41197.426000000065,43150.236000000055,195.72821704465758,0.8020034388942237,0.6361689737145162,0.6361689737145162
87930.11899999979,84968.7179999998,64.61208048145734,0.6144906894035305,0.6141503039769654,32,2,42608.26000000005,44561.07000000004,171.24531777691638,0.774089868062779,0.6324419930162754,0.6307020887980749
91278.29299999979,88316.89199999985,66.62251257070984,0.6113661325856833,0.6091836713000361,33,2,45456.100000000064,47408.91000000005,171.28189557063456,0.7924748210505899,0.6284603531725099,0.630213481274573
100109.0349999998,100109.0349999998,71.55915160409468,0.6071082536136776,0.6071082536136776,34,1,48731.13100000004,50879.46900000003,188.86514012769973,0.7943069857375193,0.6322479694912115,0.6322479694912115
106481.51599999978,106481.51599999978,74.74775638805873,0.5972193359268176,0.5972193359268176,35,1,51218.409999999996,53410.56099999997,184.5342085291815,0.7833335444470448,0.6192304603301522,0.6192304603301522
111509.05399999989,111509.05399999989,77.89270546535568,0.6066172789720494,0.6066172789720494,37,1,52867.61199999998,55059.76299999999,183.50887765813522,0.7775557817433627,0.6133601715068268,0.6133601715068268
112633.40999999992,112633.40999999992,77.95519348760685,0.6106844167916881,0.6106844167916881,37,1,52960.66499999998,55152.816,183.98410364625866,0.7878147874902479,0.6260683097469706,0.6260683097469706
118247.41399999998,118247.41399999998,79.98536738486581,0.619172102293493,0.619172102293493,37,1,53056.391999999985,55248.543000000005,189.09950319648726,0.7851909854952764,0.6264549901838163,0.6264549901838163
125861.84800000004,125861.84800000004,82.94857421922266,0.6259897657795838,0.6259897657795838,38,1,56212.661000000015,58525.499000000054,191.84333844737355,0.8703379813299243,0.6376322492734602,0.6376322492734602
125861.84800000004,125861.84800000004,82.94857421922266,0.6222528854100672,0.6222528854100672,38,1,56212.661000000015,58525.499000000054,191.84333844737355,0.8703379813299243,0.6365595400707105,0.6365595400707105
134353.874,134353.874,86.09190981387637,0.6406142049340126,0.6406142049340126,39,1,58011.37500000005,60324.21300000006,194.00733538926622,0.8594954953727504,0.648165194758189,0.648165194758189
134353.874,134353.874,86.09190981387637,0.6415096150854481,0.6415096150854481,39,1,58011.37500000005,60324.21300000006,194.00733538926622,0.8594954953727504,0.6503909351166105,0.6503909351166105
136786.0409999999,136786.0409999999,86.70919713985545,0.6453795237603163,0.6453795237603163,39,1,59279.01900000006,61591.857000000084,195.85947199150485,0.857832912688281,0.6447170821141048,0.6447170821141048
142915.29699999996,142915.29699999996,87.17651489409735,0.6465882956467288,0.6465882956467288,39,1,61889.45500000005,64202.29300000007,201.3986320810822,0.8515244017010082,0.6493631660829369,0.6493631660829369
145227.92699999982,145227.92699999982,87.45338219827008,0.6450870302600007,0.6450870302600007,39,1,62754.91600000006,65232.694000000076,204.32780951330184,0.8485876451110681,0.6504161056351621,0.6504161056351621
147513.22899999985,147513.22899999985,88.24634321610182,0.6477334766985582,0.6477334766985582,39,1,62754.91600000006,65232.694000000076,205.27264714894247,0.8463051639356298,0.6522467005579774,0.6522467005579774
152035.20300000013,152035.20300000013,88.70473219002585,0.649716184104468,0.649716184104468,39,1,65485.303000000065,67963.08100000008,208.81329679200556,0.8460392677706293,0.6501639902799373,0.6501639902799373
