length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
9281.258999999996,5642.425999999999,9.860924952438134,0.7595210493772125,0.7421190647466721,6,2,5378.635,5616.070000000001,42.238666873307395,0.5030100696207211,0.7767264165243171,0.8028880399312127
16885.746,10295.345999999998,16.395919343442397,0.736729569677906,0.7329192545413131,9,2,9323.335999999998,9560.770999999997,45.732016844503285,0.8912669632707192,0.7649672399837644,0.7718595046891884
20386.098999999977,20386.098999999977,18.671693399784754,0.5538406145242765,0.5538406145242765,10,1,10765.451000000003,11002.886,76.06158313535592,0.9504281358641374,0.643652128139801,0.643652128139801
28148.24900000001,28148.24900000001,24.821684335351218,0.5936148645195116,0.5936148645195116,13,1,14704.221999999996,15603.812999999996,78.3595508920264,0.9112712379051532,0.6531817319808487,0.6531817319808487
34934.82400000005,34934.82400000005,28.86001112462964,0.5696550785718437,0.5696550785718437,15,1,18866.81799999998,20062.203999999976,76.60552812867263,0.8389660747599751,0.6226638080165104,0.6226638080165104
40232.13900000008,40232.13900000008,33.12109805842887,0.5408792191772104,0.5408792191772104,17,1,20357.308999999987,21552.694999999974,73.72272912116573,0.8133710332197276,0.6032882378933411,0.6032882378933411
46811.532000000094,46811.532000000094,37.5328223560747,0.6024416081894769,0.6024416081894769,19,1,23769.373999999996,24964.760000000013,79.68665848716458,0.8187274067299066,0.6387738378759226,0.6387738378759226
50880.14500000004,50880.14500000004,39.504371621400104,0.6142665945971931,0.6142665945971931,20,1,25039.994000000017,26626.55000000003,80.45162128723146,0.8040507624183398,0.6373249410211373,0.6373249410211373
59187.50200000007,59187.50200000007,45.06372304908351,0.6132586060339584,0.6132586060339584,22,1,28656.498000000032,30540.955,80.13617090789448,0.7785865144341674,0.6353092331743534,0.6353092331743534
68108.69600000004,65147.29500000009,52.541885886538985,0.6025076716424526,0.5973822205441127,26,2,33278.49699999998,35162.954000000005,66.49504147679838,0.7332682079677846,0.6239384622182697,0.6260924345707729
70834.51399999998,67873.11300000001,52.73895530933198,0.6211753470010469,0.6269692275797931,26,2,35028.07500000001,37030.49900000003,68.25995607365395,0.7845271885127697,0.643602827527811,0.6434347092686372
78363.86399999981,78363.86399999981,56.057632470348636,0.6075153984243811,0.6075153984243811,27,1,39237.04500000005,41239.469000000034,75.3063656809491,0.7834750414888657,0.6301624663250531,0.6301624663250531
87952.08699999985,87952.08699999985,62.98087256328568,0.6061163824222944,0.6061163824222944,30,1,41623.94400000003,43821.89600000002,75.51281490287246,0.7751108896291254,0.6243024878448087,0.6243024878448087
90154.97799999983,90154.97799999983,63.77579864388866,0.6173410871643158,0.6173410871643158,30,1,42138.11600000005,44336.06800000002,76.90893356463874,0.778717944473735,0.6337284289936771,0.6337284289936771
95282.65699999983,95282.65699999983,67.61233735993845,0.6085991610344179,0.6085991610344179,32,1,44370.688000000046,46568.64000000002,75.9744220017996,0.7688394834535146,0.62915000525382,0.62915000525382
103491.89599999979,103491.89599999979,70.82542615103596,0.6173182205415758,0.6173182205415758,33,1,47663.422000000006,49905.18699999999,75.1839905894122,0.7574758195261404,0.6382815274950228,0.6382815274950228
103491.89599999979,103491.89599999979,70.82542615103596,0.6091101514638902,0.6091101514638902,33,1,47663.422000000006,49905.18699999999,75.1839905894122,0.7574758195261404,0.6307845578575794,0.6307845578575794
112940.62999999998,112940.62999999998,76.95754539974152,0.6160576509394369,0.6160576509394369,36,1,51141.837999999974,53504.289999999986,74.5918569254523,0.7461542674363945,0.6334553859601505,0.6334553859601505
112940.62999999998,112940.62999999998,76.95754539974152,0.6161148920686321,0.6161148920686321,36,1,51141.837999999974,53504.289999999986,74.5918569254523,0.7461542674363945,0.6315999197313066,0.6315999197313066
118806.91500000005,118806.91500000005,79.05009257625814,0.6154801687211968,0.6154801687211968,36,1,51152.824999999975,53515.27699999999,76.78350407682272,0.7437535661003986,0.6281617657891808,0.6281617657891808
128289.58700000007,128289.58700000007,83.41691952161602,0.6233669877753617,0.6233669877753617,38,1,56790.92000000002,59153.37200000005,77.82414733166097,0.7441315140176501,0.627280327871269,0.627280327871269
128289.58700000007,128289.58700000007,83.41691952161602,0.6249978640215194,0.6249978640215194,38,1,56790.92000000002,59153.37200000005,77.82414733166097,0.7441315140176501,0.6328782444843105,0.6328782444843105
136485.6119999999,136485.6119999999,86.57515364603778,0.6316000057156193,0.6316000057156193,39,1,58632.24400000004,60994.69600000007,78.66752860837754,0.7524621042536506,0.6420269860450566,0.6420269860450566
136485.6119999999,136485.6119999999,86.57515364603778,0.6335962907333629,0.6335962907333629,39,1,58632.24400000004,60994.69600000007,78.66752860837754,0.7524621042536506,0.6434206921547787,0.6434206921547787
137584.74899999995,137584.74899999995,86.57515364540139,0.6425807456509156,0.6425807456509156,39,1,59126.69100000005,61489.14300000008,79.51199926312448,0.7544099496593062,0.6511610730078367,0.6511610730078367
145028.08499999996,145028.08499999996,87.6644085679321,0.6441640116373145,0.6441640116373145,39,1,62794.30200000008,65156.754000000095,82.15327723679495,0.7521721087377429,0.6498289260531426,0.6498289260531426
145028.08499999996,145028.08499999996,87.6644085679321,0.6482128888312352,0.6482128888312352,39,1,62794.30200000008,65156.754000000095,82.15327723679495,0.7521721087377429,0.6520032101521626,0.6520032101521626
146780.70199999996,146780.70199999996,87.86615780064317,0.6519501416637221,0.6519501416637221,39,1,63659.763000000086,66187.15500000012,83.53458618971852,0.7564728387153046,0.6577673308831901,0.6577673308831901
149259.23100000012,149259.23100000012,88.68103139112907,0.6439271307944738,0.6439271307944738,39,1,63714.05400000009,66241.4460000001,83.91304604814677,0.7565188364362968,0.6507786921581415,0.6507786921581415
153226.01600000012,153226.01600000012,88.74836651302886,0.6477248033900961,0.6477248033900961,39,1,64870.51600000007,67397.90800000008,85.07459525704604,0.7718913774321762,0.6572818853853635,0.6572818853853635
161114.53900000057,161114.53900000057,90.04453722880122,0.6462933331941584,0.6462933331941584,39,1,67860.72000000009,70388.11200000008,85.54508906025616,0.7676314002501253,0.6488305498976192,0.6488305498976192
171380.93000000034,171380.93000000034,93.62583899367715,0.6445403747404745,0.6445403747404745,39,1,71372.69700000009,74191.14200000004,86.00072299327488,0.7753161086688862,0.6510668501727609,0.6510668501727609
171380.93000000034,171380.93000000034,93.62583899367715,0.6516045666611687,0.6516045666611687,39,1,71372.69700000009,74191.14200000004,86.00072299327488,0.7753161086688862,0.646685760763068,0.646685760763068
174980.1090000002,174980.1090000002,94.12395422301972,0.6509651038623261,0.6509651038623261,39,1,74010.05900000005,76828.50400000003,86.53315354831264,0.7725101170889703,0.6500720017856337,0.6500720017856337
184466.76200000042,184466.76200000042,95.11107951784207,0.6613956690347261,0.6613956690347261,39,1,77157.09499999999,80398.01700000008,87.35768193845355,0.776543628486972,0.6648916138894008,0.6648916138894008
184466.76200000042,184466.76200000042,95.11107951784207,0.6607203523365756,0.6607203523365756,39,1,77157.09499999999,80398.01700000008,87.35768193845355,0.776543628486972,0.6595893839184339,0.6595893839184339
184466.76200000042,184466.76200000042,95.11107951784207,0.6599442938304094,0.6599442938304094,39,1,77157.09499999999,80398.01700000008,87.35768193845355,0.776543628486972,0.6604158960927857,0.6604158960927857
184466.76200000042,184466.76200000042,95.11107951784207,0.6581264439091744,0.6581264439091744,39,1,77157.09499999999,80398.01700000008,87.35768193845355,0.776543628486972,0.6636815852645155,0.6636815852645155
188520.1330000005,188520.1330000005,95.2760869163139,0.6584631813285912,0.6584631813285912,39,1,78297.89500000002,81707.14500000003,87.49505904241818,0.7833665768701009,0.665804133079218,0.665804133079218
188520.1330000005,188520.1330000005,95.2760869163139,0.6645668646877054,0.6645668646877054,39,1,78297.89500000002,81707.14500000003,87.49505904241818,0.7833665768701009,0.6660302952698927,0.6660302952698927
